Customer ID,Monthly Charge,Total Charges,Total Revenue,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Payment Method,Paperless Billing
8779-QRDMV,39.65,39.65,59.65,0.0,20,0.0,Bank Withdrawal,Yes
7495-OOKFY,80.65,633.3,1024.1,0.0,0,390.8,Credit Card,Yes
1658-BYGOY,95.45,1752.55,1910.88,45.61,0,203.94,Bank Withdrawal,Yes
4598-XLKNJ,98.5,2514.5,2995.07,13.43,0,494.0,Bank Withdrawal,Yes
4846-WHAFZ,76.5,2868.15,3102.36,0.0,0,234.21,Bank Withdrawal,Yes
4412-YLTKF,78.05,2135.5,2235.41,0.0,10,89.91,Bank Withdrawal,Yes
0390-DCFDQ,70.45,70.45,85.73,0.0,0,15.28,Mailed Check,Yes
3445-HXXGF,45.3,2651.2,2610.25,40.95,0,0.0,Bank Withdrawal,Yes
2656-FMOKZ,74.45,1145.7,1806.75,0.0,0,661.05,Mailed Check,Yes
2070-FNEXE,76.45,503.6,681.2,11.05,0,188.65,Bank Withdrawal,No
0094-OIFMO,95.0,1120.3,1367.79,0.0,120,127.49,Bank Withdrawal,Yes
9947-OTFQU,74.4,1074.3,1510.95,0.0,0,436.65,Bank Withdrawal,Yes
9514-JDSKI,40.2,40.2,40.2,0.0,0,0.0,Bank Withdrawal,No
7273-TEFQD,41.15,132.2,132.2,0.0,0,0.0,Bank Withdrawal,Yes
3606-TWKGI,106.9,1364.3,1799.14,0.0,10,424.84,Bank Withdrawal,Yes
4385-GZQXV,94.45,1511.2,1662.08,0.0,0,150.88,Bank Withdrawal,Yes
3488-PGMQJ,74.5,606.55,620.79,0.0,0,14.24,Bank Withdrawal,Yes
7534-BFESC,76.1,1712.7,2453.58,0.0,0,740.88,Bank Withdrawal,Yes
8098-LLAZX,95.45,396.1,522.54,0.0,0,126.44,Bank Withdrawal,Yes
0265-EDXBD,74.9,2303.35,3818.23,0.0,0,1514.88,Bank Withdrawal,Yes
2840-XANRC,93.15,2231.05,2617.45,0.0,0,386.4,Bank Withdrawal,Yes
5020-ZSTTY,82.45,4350.1,5002.42,0.0,0,652.32,Bank Withdrawal,No
5804-LEPIM,70.35,139.05,165.39,0.0,0,26.34,Bank Withdrawal,Yes
0623-IIHUG,41.9,840.1,840.1,0.0,0,0.0,Bank Withdrawal,Yes
9057-MSWCO,30.75,805.1,945.1,0.0,140,0.0,Credit Card,No
4895-TMWIR,19.95,214.75,539.69,0.0,0,324.94,Mailed Check,No
0533-BNWKF,85.45,4874.7,7319.8,0.0,90,2355.1,Bank Withdrawal,Yes
0334-GDDSO,81.35,233.7,261.36,0.0,0,27.66,Bank Withdrawal,Yes
5564-NEMQO,75.3,75.3,130.39,0.0,20,35.09,Bank Withdrawal,Yes
6235-VDHOM,28.45,131.05,131.05,0.0,0,0.0,Bank Withdrawal,No
5609-CEBID,94.1,1782.4,2837.0,0.0,80,974.6,Bank Withdrawal,Yes
5956-VKDTT,74.35,334.8,563.6,0.0,0,228.8,Bank Withdrawal,Yes
0257-ZESQC,75.2,1929.35,2118.89,0.0,0,189.54,Bank Withdrawal,Yes
2865-TCHJW,89.2,346.2,539.6,0.0,0,193.4,Bank Withdrawal,Yes
5192-EBGOV,85.7,85.7,131.51,0.0,0,45.81,Bank Withdrawal,Yes
3419-SNJJD,105.25,6786.4,7981.75,0.0,0,1195.35,Bank Withdrawal,No
4554-YGZIH,90.05,4547.25,5670.33,0.0,0,1123.08,Credit Card,No
5099-BAILX,110.75,4687.9,5312.26,0.0,0,624.36,Bank Withdrawal,Yes
4913-EHYUI,104.55,5794.65,8527.45,0.0,0,2732.8,Bank Withdrawal,Yes
1626-ERCMM,94.55,1899.65,2005.85,0.0,0,106.2,Bank Withdrawal,Yes
5644-PDMZC,89.5,161.5,256.44,0.0,0,94.94,Bank Withdrawal,No
4160-AMJTL,19.65,164.3,387.9,0.0,0,223.6,Bank Withdrawal,No
0823-HSCDJ,49.15,2550.9,2580.9,0.0,30,0.0,Bank Withdrawal,Yes
0067-DKWBL,49.25,91.1,179.08,0.0,0,87.98,Bank Withdrawal,Yes
5244-IRFIH,94.5,3105.55,4022.29,0.0,0,916.74,Bank Withdrawal,Yes
2684-EIWEO,91.7,2758.15,4134.55,0.0,0,1376.4,Credit Card,No
6683-VLCTZ,98.55,1842.8,2851.6,0.0,120,888.8,Bank Withdrawal,Yes
0691-IFBQW,110.0,4874.8,4983.82,0.0,0,109.02,Bank Withdrawal,Yes
3643-AHCFP,95.6,644.35,797.72,0.0,0,153.37,Bank Withdrawal,Yes
9231-ZJYAM,78.85,292.8,440.52,0.0,0,147.72,Bank Withdrawal,Yes
0727-BMPLR,100.0,5509.3,7665.2,0.0,100,2055.9,Bank Withdrawal,Yes
0947-MUGVO,73.65,1463.5,1570.9,0.0,0,107.4,Bank Withdrawal,Yes
0781-LKXBR,100.5,918.6,1356.99,0.0,0,438.39,Bank Withdrawal,Yes
1907-UBQFC,72.85,688.65,773.25,0.0,30,54.6,Bank Withdrawal,Yes
6513-EECDB,73.55,73.55,110.47,0.0,0,36.92,Bank Withdrawal,Yes
7074-IEVOJ,79.4,205.05,330.75,0.0,0,125.7,Bank Withdrawal,Yes
4750-ZRXIU,84.6,360.1,386.82,0.0,0,26.72,Bank Withdrawal,Yes
7028-DVOIQ,99.05,3395.8,4244.85,0.0,120,729.05,Bank Withdrawal,Yes
4208-UFFGW,44.95,85.15,138.39,0.0,0,53.24,Credit Card,No
9889-TMAHG,100.3,832.35,924.91,0.0,0,92.56,Credit Card,No
8919-FYFQZ,30.35,1359.7,1359.7,0.0,0,0.0,Bank Withdrawal,Yes
6646-QVXLR,103.75,6383.35,6824.17,0.0,0,440.82,Bank Withdrawal,Yes
9369-XFEHK,80.6,2656.5,3751.77,0.0,0,1095.27,Bank Withdrawal,Yes
1374-DMZUI,94.3,424.45,622.45,0.0,0,198.0,Bank Withdrawal,Yes
1989-PRJHP,75.5,1893.95,2180.15,0.0,0,286.2,Bank Withdrawal,Yes
4822-RVYBB,100.6,819.4,1143.0,0.0,0,323.6,Bank Withdrawal,Yes
4184-TJFAN,88.3,273.75,351.06,0.0,0,77.31,Mailed Check,Yes
4145-UQXUQ,92.1,729.95,1073.39,0.0,0,343.44,Bank Withdrawal,Yes
1236-WFCDV,90.45,1266.1,1424.44,0.0,0,158.34,Credit Card,No
1271-SJBGZ,43.65,526.95,526.95,0.0,0,0.0,Bank Withdrawal,Yes
4441-NIHPT,74.3,940.35,1465.16,0.0,0,524.81,Bank Withdrawal,Yes
8999-BOHSE,89.7,1047.7,1091.26,0.0,0,43.56,Bank Withdrawal,No
7029-RPUAV,100.45,1622.45,2101.51,0.0,0,479.06,Credit Card,Yes
8111-SLLHI,105.65,4284.8,5581.55,0.0,0,1296.75,Bank Withdrawal,Yes
5293-WXJAK,104.05,1133.65,1323.4,0.0,0,189.75,Bank Withdrawal,Yes
4086-YQSNZ,80.4,224.05,233.92,0.0,0,9.87,Bank Withdrawal,Yes
8399-YNDCH,60.05,1236.15,1963.17,0.0,0,727.02,Bank Withdrawal,Yes
5565-FILXA,96.15,1529.2,2149.2,0.0,0,620.0,Bank Withdrawal,Yes
4187-CINZD,95.25,4424.2,4706.18,0.0,0,281.98,Credit Card,No
6818-WOBHJ,89.6,6127.6,7768.44,0.0,0,1640.84,Bank Withdrawal,Yes
9134-CEQMF,89.5,676.7,772.11,0.0,0,95.41,Bank Withdrawal,Yes
8519-IMDHU,85.6,1345.55,2024.3,0.0,0,678.75,Bank Withdrawal,Yes
3372-KWFBM,86.6,1281.0,1587.88,0.0,0,306.88,Bank Withdrawal,Yes
7206-GZCDC,69.25,69.25,98.93,0.0,0,29.68,Bank Withdrawal,Yes
1768-ZAIFU,25.2,25.2,25.2,0.0,0,0.0,Bank Withdrawal,Yes
3793-MMFUH,95.05,1290.0,1537.39,0.0,0,247.39,Bank Withdrawal,Yes
6567-HOOPW,79.2,79.2,99.26,0.0,0,20.06,Bank Withdrawal,Yes
8621-MNIHH,94.25,3217.55,3315.47,0.0,0,97.92,Bank Withdrawal,Yes
5419-CONWX,99.8,442.85,493.57,0.0,0,50.72,Credit Card,Yes
7024-OHCCK,93.85,170.85,209.39,0.0,0,38.54,Bank Withdrawal,Yes
5357-TZHPP,84.4,732.5,1009.7,0.0,0,277.2,Credit Card,Yes
0506-LVNGN,75.55,349.65,561.3,0.0,0,211.65,Credit Card,Yes
9809-IMGCQ,96.7,2082.95,3066.91,0.0,100,883.96,Bank Withdrawal,Yes
3254-YRILK,88.2,1775.8,2535.23,0.0,0,759.43,Bank Withdrawal,Yes
0529-ONKER,75.65,1146.65,1842.35,0.0,0,695.7,Bank Withdrawal,No
5240-IJOQT,74.7,74.7,86.04,0.0,0,11.34,Bank Withdrawal,Yes
0661-XEYAN,25.8,25.8,45.8,0.0,20,0.0,Mailed Check,Yes
2660-EMUBI,95.35,898.35,1312.05,0.0,0,413.7,Bank Withdrawal,Yes
7675-OZCZG,45.0,127.1,227.52,0.0,10,90.42,Bank Withdrawal,No
9391-EOYLI,80.45,950.2,1033.84,0.0,0,83.64,Bank Withdrawal,Yes
2761-OCIAX,74.7,165.4,178.42,0.0,0,13.02,Bank Withdrawal,Yes
3068-OMWZA,88.8,88.8,148.4,0.0,10,49.6,Bank Withdrawal,Yes
4154-AQUGT,89.05,1169.35,1188.46,0.0,0,19.11,Bank Withdrawal,Yes
8017-LXHFA,94.75,2293.6,3010.51,0.0,0,716.91,Bank Withdrawal,Yes
4248-QPAVC,85.35,1463.45,2089.39,0.0,0,625.94,Bank Withdrawal,Yes
4690-LLKUA,45.05,770.6,1466.41,0.0,0,695.81,Bank Withdrawal,Yes
9490-DFPMD,84.65,3541.35,3941.61,0.0,0,400.26,Bank Withdrawal,Yes
8580-AECUZ,79.1,79.1,121.4,0.0,0,42.3,Bank Withdrawal,Yes
5047-LHVLY,50.15,50.15,89.93,0.0,0,39.78,Mailed Check,Yes
8375-DKEBR,69.6,69.6,104.11,0.0,0,34.51,Bank Withdrawal,Yes
7279-BUYWN,113.2,4689.5,5835.45,0.0,0,1145.95,Bank Withdrawal,Yes
7156-MHUGY,90.5,1201.15,1650.74,29.84,140,339.43,Bank Withdrawal,Yes
9606-PBKBQ,85.0,2642.05,2784.16,49.57,0,191.68,Bank Withdrawal,Yes
3536-IQCTX,85.3,2661.1,4248.3,0.0,0,1587.2,Bank Withdrawal,No
3132-TVFDZ,44.85,2572.95,2560.88,12.07,0,0.0,Bank Withdrawal,Yes
8080-DDEMJ,45.1,45.1,60.38,0.0,0,15.28,Bank Withdrawal,No
6702-OHFWR,43.3,43.3,43.3,0.0,0,0.0,Bank Withdrawal,Yes
4510-PYUSH,57.15,2250.65,3242.45,0.0,0,991.8,Credit Card,Yes
8840-DQLGN,100.5,3653.35,4212.65,0.0,0,559.3,Bank Withdrawal,Yes
4193-ORFCL,45.1,45.1,60.34,0.0,0,15.24,Credit Card,No
7776-QWNFX,50.4,1527.5,1667.0,0.0,0,139.5,Bank Withdrawal,Yes
6689-TCZHQ,78.95,378.4,439.75,0.0,0,61.35,Bank Withdrawal,No
9497-QCMMS,93.55,93.55,123.72,0.0,0,30.17,Bank Withdrawal,Yes
3424-NMNBO,108.85,6287.25,9151.29,0.0,0,2864.04,Bank Withdrawal,Yes
4514-GFCFI,84.75,1350.15,1630.31,0.0,0,280.16,Bank Withdrawal,Yes
8000-REIQB,69.95,69.95,102.45,0.0,10,22.5,Bank Withdrawal,Yes
4795-KTRTH,81.0,371.65,577.41,40.64,10,236.4,Bank Withdrawal,Yes
9961-JBNMK,96.8,2030.3,2907.77,10.2,0,887.67,Bank Withdrawal,Yes
6179-GJPSO,108.15,4600.7,5969.39,0.0,0,1368.69,Credit Card,Yes
8290-YWKHZ,93.2,2931.0,3992.8,17.88,0,1079.68,Bank Withdrawal,Yes
8051-HJRLT,70.55,70.55,88.75,0.0,0,18.2,Bank Withdrawal,Yes
4021-RQSNY,98.5,3004.15,3754.22,37.55,40,747.62,Bank Withdrawal,Yes
9061-TIHDA,95.25,1233.65,1597.66,48.09,0,412.1,Bank Withdrawal,Yes
8699-ASUFO,74.4,527.9,557.88,32.46,0,62.44,Credit Card,Yes
4695-WJZUE,88.55,179.25,222.39,0.0,0,43.14,Bank Withdrawal,Yes
3988-RQIXO,91.3,91.3,134.91,0.0,0,43.61,Bank Withdrawal,Yes
5931-FLJJF,70.1,467.55,559.67,20.23,0,112.35,Credit Card,Yes
3207-OYBWH,95.25,5427.05,8259.33,12.59,0,2844.87,Bank Withdrawal,Yes
7216-EWTRS,100.8,100.8,118.15,0.0,0,17.35,Bank Withdrawal,Yes
2528-HFYZX,76.45,1233.4,1251.25,0.0,0,17.85,Bank Withdrawal,Yes
4140-MUHUG,86.85,220.95,276.09,0.0,0,55.14,Bank Withdrawal,Yes
1587-FKLZB,99.5,6822.15,8726.91,0.0,0,1904.76,Credit Card,Yes
5440-FLBQG,108.4,7318.2,10690.92,0.0,0,3372.72,Bank Withdrawal,Yes
2774-LVQUS,83.05,1258.3,2030.25,0.0,110,661.95,Bank Withdrawal,Yes
4612-THJBS,104.75,5510.65,7447.13,0.0,0,1936.48,Bank Withdrawal,Yes
4094-NSEDU,94.25,1973.75,2417.9,0.0,0,444.15,Bank Withdrawal,Yes
1846-XWOQN,70.15,70.15,118.12,0.0,0,47.97,Bank Withdrawal,Yes
3757-NJYBX,106.35,3520.75,3774.19,0.0,0,253.44,Bank Withdrawal,No
9898-KZQDZ,94.55,3640.45,5620.45,0.0,0,1980.0,Credit Card,Yes
8263-JQAIK,24.45,47.5,47.5,0.0,0,0.0,Credit Card,Yes
2205-YMZZJ,84.8,546.95,823.52,0.0,0,276.57,Bank Withdrawal,Yes
1254-IZEYF,99.95,3186.65,4406.81,0.0,0,1220.16,Bank Withdrawal,Yes
9221-OTIVJ,104.85,1531.4,1950.84,0.0,0,419.44,Bank Withdrawal,Yes
5908-QMGOE,74.2,1133.9,1443.54,43.31,0,352.95,Credit Card,Yes
0397-GZBBC,93.85,5574.75,6202.64,8.13,0,636.02,Bank Withdrawal,Yes
7641-EUYET,100.7,4541.2,6753.62,46.64,0,2259.06,Bank Withdrawal,Yes
8922-LIEGH,89.7,2187.55,3073.22,23.33,0,909.0,Bank Withdrawal,Yes
8245-UMPYT,96.4,1581.2,2047.76,47.2,0,513.76,Bank Withdrawal,Yes
5186-SAMNZ,69.5,69.5,190.7,0.0,80,41.2,Bank Withdrawal,Yes
5373-SFODM,85.25,3132.75,4016.19,0.0,0,883.44,Credit Card,Yes
0022-TCJCI,62.7,2791.5,3271.65,0.0,0,480.15,Credit Card,No
5130-IEKQT,105.95,2655.25,3813.75,0.0,0,1158.5,Credit Card,No
3269-ATYWD,95.65,3759.05,5544.32,0.0,150,1635.27,Bank Withdrawal,Yes
0354-WYROK,98.9,2911.3,4397.75,0.0,0,1486.45,Bank Withdrawal,Yes
7576-OYWBN,76.05,231.8,322.55,0.0,0,90.75,Bank Withdrawal,Yes
5539-TMZLF,69.75,69.75,103.59,0.0,0,33.84,Bank Withdrawal,Yes
3336-JORSO,110.45,3655.45,4294.37,0.0,70,568.92,Bank Withdrawal,Yes
6861-XWTWQ,99.25,665.45,965.89,0.0,0,300.44,Bank Withdrawal,Yes
4283-FUTGF,79.85,1471.75,1790.57,0.0,0,318.82,Bank Withdrawal,Yes
2397-BRLOM,80.45,583.45,799.37,0.0,0,215.92,Credit Card,Yes
8510-AWCXC,100.8,1308.1,1401.96,0.0,0,93.86,Bank Withdrawal,Yes
8225-BTJAU,79.25,793.55,868.65,0.0,0,75.1,Bank Withdrawal,Yes
1724-BQUHA,89.5,477.7,706.3,0.0,0,228.6,Bank Withdrawal,Yes
4826-XTSOH,86.05,86.05,124.83,0.0,0,38.78,Bank Withdrawal,Yes
2408-WITXK,34.7,329.8,329.8,0.0,0,0.0,Bank Withdrawal,Yes
2634-HCZGT,60.05,3229.65,4478.16,0.0,100,1148.51,Bank Withdrawal,Yes
7503-QQRVF,74.3,1178.25,1596.17,0.0,0,417.92,Credit Card,Yes
0709-TVGUR,74.55,622.9,747.69,33.25,0,158.04,Bank Withdrawal,Yes
3001-CBHLQ,104.9,3351.55,4710.14,33.73,0,1392.32,Bank Withdrawal,Yes
4102-OQUPX,74.4,74.4,121.76,0.0,30,17.36,Bank Withdrawal,Yes
3999-QGRJH,69.7,560.85,679.97,0.0,0,119.12,Bank Withdrawal,Yes
2454-RPBRZ,98.1,1060.2,1378.7,49.06,0,367.56,Bank Withdrawal,Yes
2265-CYWIV,99.6,347.65,397.5,25.79,0,75.64,Bank Withdrawal,Yes
4550-VBOFE,102.95,7101.5,8307.76,15.24,0,1221.5,Bank Withdrawal,Yes
7409-KIUTL,71.0,71.0,99.64,0.0,0,28.64,Bank Withdrawal,Yes
1732-VHUBQ,70.55,3309.25,4548.91,26.99,0,1266.65,Bank Withdrawal,No
0679-IDSTG,69.25,69.25,106.55,0.0,0,37.3,Bank Withdrawal,Yes
8802-UNOJF,83.8,1029.75,1408.73,44.58,80,343.56,Credit Card,Yes
6313-GIDIT,54.45,2854.55,2834.39,20.16,0,0.0,Bank Withdrawal,Yes
2845-AFFTX,99.8,4259.3,5175.38,8.88,0,924.96,Bank Withdrawal,Yes
2815-CPTUL,70.25,331.9,330.77,12.48,0,11.35,Credit Card,Yes
1891-FZYSA,89.95,6143.15,7373.82,6.79,110,1127.46,Bank Withdrawal,Yes
9685-WKZGT,74.95,1036.75,1225.94,39.29,0,228.48,Bank Withdrawal,Yes
6022-UGGSO,74.4,2276.95,3295.68,44.31,0,1063.04,Bank Withdrawal,Yes
3923-CSIHK,71.05,3444.85,3674.85,0.0,0,230.0,Bank Withdrawal,Yes
3677-IYRBF,30.4,78.65,78.65,0.0,0,0.0,Bank Withdrawal,Yes
8118-LSUEL,106.4,2483.5,2888.76,0.0,0,405.26,Bank Withdrawal,Yes
5277-ZLOOR,85.55,187.45,198.43,0.0,0,10.98,Bank Withdrawal,Yes
4248-HCETZ,79.65,2365.15,2552.05,0.0,0,186.9,Credit Card,Yes
9174-FKWZE,19.45,19.45,42.37,0.0,0,22.92,Bank Withdrawal,Yes
5307-DZCVC,85.95,2628.6,4195.0,0.0,0,1566.4,Credit Card,Yes
8679-JOEVF,59.4,1023.9,1613.18,0.0,0,589.28,Bank Withdrawal,No
4803-AXVYP,99.55,3734.25,5535.07,0.0,0,1800.82,Bank Withdrawal,Yes
5649-ANRML,95.1,180.25,206.17,0.0,0,25.92,Credit Card,Yes
7395-IGJOS,81.5,1329.2,1490.7,0.0,0,161.5,Bank Withdrawal,No
7890-VYYWG,36.45,93.7,93.7,0.0,0,0.0,Credit Card,Yes
9907-SWKKF,25.05,25.05,25.05,0.0,0,0.0,Credit Card,No
6397-JNZZG,55.55,2342.2,2342.2,0.0,0,0.0,Credit Card,No
7779-LGOVN,86.65,856.65,1321.65,0.0,0,465.0,Bank Withdrawal,Yes
9710-ZUSHQ,106.75,4056.75,5605.2,0.0,0,1548.45,Bank Withdrawal,Yes
3902-FOIGH,101.35,1218.55,1800.55,0.0,0,582.0,Bank Withdrawal,Yes
3318-OSATS,95.45,3474.05,4782.55,0.0,80,1228.5,Bank Withdrawal,Yes
2636-ALXXZ,69.6,69.6,115.4,0.0,0,45.8,Bank Withdrawal,Yes
9885-CSMWE,78.45,78.45,96.82,0.0,0,18.37,Bank Withdrawal,No
8058-JMEQO,84.45,762.5,878.69,0.0,0,116.19,Bank Withdrawal,Yes
7657-DYEPJ,70.15,2497.35,2715.85,0.0,0,218.5,Credit Card,Yes
8276-MQBYC,97.8,4913.3,5907.29,0.0,0,993.99,Bank Withdrawal,Yes
6015-VVHHE,83.15,446.05,655.2,0.0,0,209.15,Credit Card,Yes
2516-VQRRV,75.45,158.4,205.32,0.0,0,46.92,Credit Card,Yes
7580-UGXNC,54.85,104.2,155.68,0.0,0,51.48,Credit Card,No
5178-LMXOP,95.1,95.1,99.99,0.0,0,4.89,Bank Withdrawal,Yes
7056-IMHCC,101.9,5549.4,5970.22,0.0,0,420.82,Bank Withdrawal,Yes
8749-JMNKX,93.8,4750.95,5880.09,0.0,0,1129.14,Bank Withdrawal,Yes
0917-EZOLA,104.15,7689.95,8124.11,0.0,0,434.16,Bank Withdrawal,Yes
8414-MYSHR,91.4,449.75,472.7,0.0,0,22.95,Bank Withdrawal,Yes
4988-IQIGL,75.35,75.35,103.84,0.0,0,28.49,Bank Withdrawal,Yes
4706-AXVKM,84.8,906.85,951.95,0.0,0,45.1,Credit Card,Yes
5889-JTMUL,95.05,4888.7,6516.7,0.0,50,1578.0,Bank Withdrawal,Yes
9026-RNUJS,50.35,237.25,330.7,0.0,0,93.45,Bank Withdrawal,No
1624-NALOJ,89.8,502.6,684.4,0.0,0,181.8,Bank Withdrawal,Yes
6210-KBBPI,99.45,919.4,1015.34,0.0,0,95.94,Credit Card,Yes
2260-USTRB,70.2,115.95,135.05,0.0,0,19.1,Bank Withdrawal,Yes
8623-TMRBY,84.2,4146.05,6368.63,0.0,0,2222.58,Bank Withdrawal,Yes
6900-PXRMS,105.75,2710.25,2833.01,0.0,90,32.76,Bank Withdrawal,No
3346-BRMIS,48.35,810.7,810.7,0.0,0,0.0,Bank Withdrawal,Yes
2722-JMONI,49.55,49.55,73.79,0.0,0,24.24,Bank Withdrawal,Yes
7579-OOPEC,50.15,115.1,128.82,0.0,0,13.72,Credit Card,No
1771-OADNZ,95.9,2745.2,3821.22,0.0,50,1026.02,Bank Withdrawal,Yes
0612-RTZZA,25.25,25.25,25.25,0.0,0,0.0,Bank Withdrawal,No
4433-JCGCG,101.0,4680.05,4926.61,0.0,0,246.56,Bank Withdrawal,Yes
9488-HGMJH,71.15,71.15,115.9,0.0,20,24.75,Bank Withdrawal,Yes
4818-QIUFN,79.15,1520.9,1757.3,0.0,0,236.4,Bank Withdrawal,Yes
6961-VCPMC,80.4,3605.2,5861.72,0.0,20,2236.52,Bank Withdrawal,Yes
4424-TKOPW,93.85,196.75,247.13,0.0,0,50.38,Bank Withdrawal,Yes
4201-JMNGR,55.8,55.8,82.02,0.0,0,26.22,Bank Withdrawal,Yes
1866-RZZQS,98.4,4187.75,5912.21,0.0,0,1724.46,Bank Withdrawal,Yes
8631-NBHFZ,79.4,5154.6,7286.58,0.0,150,1981.98,Credit Card,No
4958-XCBDQ,101.4,3496.3,4885.45,0.0,0,1389.15,Bank Withdrawal,Yes
8337-UPOAQ,89.8,914.3,1083.1,0.0,0,168.8,Bank Withdrawal,Yes
6712-OAWRH,91.25,2351.8,3253.74,0.0,0,901.94,Bank Withdrawal,Yes
