Customer ID,Churn Label,Churn Score,CLTV
8779-QRDMV,Yes,91,5433
7495-OOKFY,Yes,69,5302
1658-BYGOY,Yes,81,3179
4598-XLKNJ,Yes,88,5337
4846-WHAFZ,Yes,67,2793
4412-YLTKF,Yes,95,4638
0390-DCFDQ,Yes,76,3964
3445-HXXGF,Yes,91,5444
2656-FMOKZ,Yes,91,5717
2070-FNEXE,Yes,81,4419
0094-OIFMO,Yes,85,5980
9947-OTFQU,Yes,86,4616
9514-JDSKI,Yes,65,5828
7273-TEFQD,Yes,96,2314
3606-TWKGI,Yes,84,2494
4385-GZQXV,Yes,81,3810
3488-PGMQJ,Yes,80,4345
7534-BFESC,Yes,91,2018
8098-LLAZX,Yes,85,3677
0265-EDXBD,Yes,69,4105
2840-XANRC,Yes,73,2212
5020-ZSTTY,Yes,83,4149
5804-LEPIM,Yes,73,2671
0623-IIHUG,Yes,90,4778
9057-MSWCO,Yes,91,2927
4895-TMWIR,Yes,80,5888
0533-BNWKF,Yes,91,5502
0334-GDDSO,Yes,73,2818
5564-NEMQO,Yes,67,4902
6235-VDHOM,Yes,89,4099
5609-CEBID,Yes,87,2666
5956-VKDTT,Yes,82,5273
0257-ZESQC,Yes,91,4517
2865-TCHJW,Yes,74,5808
5192-EBGOV,Yes,66,4880
3419-SNJJD,Yes,91,4196
4554-YGZIH,Yes,96,5059
5099-BAILX,Yes,65,2728
4913-EHYUI,Yes,91,6268
1626-ERCMM,Yes,84,5604
5644-PDMZC,Yes,80,2065
4160-AMJTL,Yes,83,5432
0823-HSCDJ,Yes,90,5597
0067-DKWBL,Yes,95,3475
5244-IRFIH,Yes,91,4333
2684-EIWEO,Yes,90,2482
6683-VLCTZ,Yes,92,5444
0691-IFBQW,Yes,81,2403
3643-AHCFP,Yes,83,3265
9231-ZJYAM,Yes,72,5301
0727-BMPLR,Yes,83,5679
0947-MUGVO,Yes,95,5849
0781-LKXBR,Yes,70,4038
1907-UBQFC,Yes,91,3189
6513-EECDB,Yes,94,4369
7074-IEVOJ,Yes,91,3501
4750-ZRXIU,Yes,83,2467
7028-DVOIQ,Yes,82,2074
4208-UFFGW,Yes,84,5900
9889-TMAHG,Yes,74,5084
8919-FYFQZ,Yes,96,4829
6646-QVXLR,Yes,91,5052
9369-XFEHK,Yes,72,3601
1374-DMZUI,Yes,91,5419
1989-PRJHP,Yes,65,2377
4822-RVYBB,Yes,90,5906
4184-TJFAN,Yes,68,4486
4145-UQXUQ,Yes,81,5662
1236-WFCDV,Yes,96,4777
1271-SJBGZ,Yes,74,2437
4441-NIHPT,Yes,90,2995
8999-BOHSE,Yes,89,2202
7029-RPUAV,Yes,87,5508
8111-SLLHI,Yes,96,4687
5293-WXJAK,Yes,82,4553
4086-YQSNZ,Yes,89,3834
8399-YNDCH,Yes,70,4716
5565-FILXA,Yes,96,5913
4187-CINZD,Yes,90,3180
6818-WOBHJ,Yes,69,5651
9134-CEQMF,Yes,89,3077
8519-IMDHU,Yes,83,4981
3372-KWFBM,Yes,81,2508
7206-GZCDC,Yes,75,4371
1768-ZAIFU,Yes,67,5688
3793-MMFUH,Yes,90,2230
6567-HOOPW,Yes,76,4363
8621-MNIHH,Yes,88,3369
5419-CONWX,Yes,89,2268
7024-OHCCK,Yes,72,4193
5357-TZHPP,Yes,83,5745
0506-LVNGN,Yes,90,4028
9809-IMGCQ,Yes,93,4458
3254-YRILK,Yes,69,5683
0529-ONKER,Yes,96,2099
5240-IJOQT,Yes,88,3348
0661-XEYAN,Yes,90,3884
2660-EMUBI,Yes,75,5353
7675-OZCZG,Yes,77,4145
9391-EOYLI,Yes,69,5374
2761-OCIAX,Yes,81,2803
3068-OMWZA,Yes,91,3106
4154-AQUGT,Yes,82,3861
8017-LXHFA,Yes,95,2740
4248-QPAVC,Yes,90,3209
4690-LLKUA,Yes,93,3797
9490-DFPMD,Yes,90,4871
8580-AECUZ,Yes,92,5001
5047-LHVLY,Yes,91,3438
8375-DKEBR,Yes,96,3438
7279-BUYWN,Yes,89,3380
7156-MHUGY,Yes,76,5394
9606-PBKBQ,Yes,94,4584
3536-IQCTX,Yes,75,2712
3132-TVFDZ,Yes,82,5172
8080-DDEMJ,Yes,79,4499
6702-OHFWR,Yes,91,4972
4510-PYUSH,Yes,75,3110
8840-DQLGN,Yes,81,4745
4193-ORFCL,Yes,70,2740
7776-QWNFX,Yes,83,4795
6689-TCZHQ,Yes,65,4054
9497-QCMMS,Yes,81,5536
3424-NMNBO,Yes,91,4739
4514-GFCFI,Yes,91,5136
8000-REIQB,Yes,94,3208
4795-KTRTH,Yes,91,4287
9961-JBNMK,Yes,87,4317
6179-GJPSO,Yes,86,2833
8290-YWKHZ,Yes,90,5247
8051-HJRLT,Yes,82,2146
4021-RQSNY,Yes,72,5137
9061-TIHDA,Yes,90,2982
8699-ASUFO,Yes,96,4969
4695-WJZUE,Yes,80,3685
3988-RQIXO,Yes,71,2371
5931-FLJJF,Yes,83,3669
3207-OYBWH,Yes,86,6259
7216-EWTRS,Yes,65,3128
2528-HFYZX,Yes,92,3266
4140-MUHUG,Yes,70,3561
1587-FKLZB,Yes,96,4479
5440-FLBQG,Yes,73,4708
2774-LVQUS,Yes,70,2596
4612-THJBS,Yes,93,5605
4094-NSEDU,Yes,73,4819
1846-XWOQN,Yes,71,2825
3757-NJYBX,Yes,65,4113
9898-KZQDZ,Yes,95,5676
8263-JQAIK,Yes,77,5573
2205-YMZZJ,Yes,70,2015
1254-IZEYF,Yes,96,5362
9221-OTIVJ,Yes,86,2292
5908-QMGOE,Yes,80,4553
0397-GZBBC,Yes,85,5390
7641-EUYET,Yes,72,5712
8922-LIEGH,Yes,82,4078
8245-UMPYT,Yes,80,2688
5186-SAMNZ,Yes,77,3273
5373-SFODM,Yes,82,3041
0022-TCJCI,Yes,92,2654
5130-IEKQT,Yes,91,4283
3269-ATYWD,Yes,65,4892
0354-WYROK,Yes,91,4050
7576-OYWBN,Yes,67,2930
5539-TMZLF,Yes,69,5057
3336-JORSO,Yes,80,3401
6861-XWTWQ,Yes,90,2487
4283-FUTGF,Yes,65,3715
2397-BRLOM,Yes,91,3443
8510-AWCXC,Yes,65,3269
8225-BTJAU,Yes,87,3856
1724-BQUHA,Yes,66,2718
4826-XTSOH,Yes,96,4843
2408-WITXK,Yes,92,3244
2634-HCZGT,Yes,77,5271
7503-QQRVF,Yes,81,2076
0709-TVGUR,Yes,69,3145
3001-CBHLQ,Yes,79,3966
4102-OQUPX,Yes,91,5429
3999-QGRJH,Yes,88,3068
2454-RPBRZ,Yes,90,2709
2265-CYWIV,Yes,77,4708
4550-VBOFE,Yes,91,5005
7409-KIUTL,Yes,72,5345
1732-VHUBQ,Yes,82,4457
0679-IDSTG,Yes,87,4568
8802-UNOJF,Yes,78,5565
6313-GIDIT,Yes,65,6280
2845-AFFTX,Yes,76,4726
2815-CPTUL,Yes,89,3684
1891-FZYSA,Yes,82,6363
9685-WKZGT,Yes,70,2075
6022-UGGSO,Yes,90,2091
3923-CSIHK,Yes,94,5746
3677-IYRBF,Yes,90,4002
8118-LSUEL,Yes,79,5507
5277-ZLOOR,Yes,86,5512
4248-HCETZ,Yes,73,2174
9174-FKWZE,Yes,78,3848
5307-DZCVC,Yes,74,2431
8679-JOEVF,Yes,87,5556
4803-AXVYP,Yes,91,3474
5649-ANRML,Yes,90,4486
7395-IGJOS,Yes,79,3443
7890-VYYWG,Yes,89,3766
9907-SWKKF,Yes,65,4842
6397-JNZZG,Yes,85,2573
7779-LGOVN,Yes,84,4990
9710-ZUSHQ,Yes,92,5849
3902-FOIGH,Yes,68,3967
3318-OSATS,Yes,91,2080
2636-ALXXZ,Yes,74,2151
9885-CSMWE,Yes,67,2139
8058-JMEQO,Yes,95,3543
7657-DYEPJ,Yes,82,2645
8276-MQBYC,Yes,81,6204
6015-VVHHE,Yes,96,2516
2516-VQRRV,Yes,65,3350
7580-UGXNC,Yes,96,3016
5178-LMXOP,Yes,70,5795
7056-IMHCC,Yes,94,5884
8749-JMNKX,Yes,83,4788
0917-EZOLA,Yes,74,5925
8414-MYSHR,Yes,78,2834
4988-IQIGL,Yes,92,4403
4706-AXVKM,Yes,67,5118
5889-JTMUL,Yes,92,5863
9026-RNUJS,Yes,81,4618
1624-NALOJ,Yes,88,2960
6210-KBBPI,Yes,93,2313
2260-USTRB,Yes,67,2767
8623-TMRBY,Yes,74,6245
6900-PXRMS,Yes,91,3157
3346-BRMIS,Yes,92,2167
2722-JMONI,Yes,76,4989
7579-OOPEC,Yes,78,5461
1771-OADNZ,Yes,95,2151
0612-RTZZA,Yes,87,4628
4433-JCGCG,Yes,88,2436
9488-HGMJH,Yes,85,5287
4818-QIUFN,Yes,95,4997
6961-VCPMC,Yes,75,4876
4424-TKOPW,Yes,70,4998
4201-JMNGR,Yes,87,5527
1866-RZZQS,Yes,91,2169
8631-NBHFZ,Yes,73,5910
4958-XCBDQ,Yes,92,3689
8337-UPOAQ,Yes,76,5124
6712-OAWRH,Yes,76,5154
5914-DVBWJ,Yes,91,5145
8644-XLFBW,Yes,84,5674
1833-VGRUM,Yes,71,4684
8374-XGEJJ,Yes,87,3123
6946-LMSQS,Yes,90,2673
4039-HEUNW,Yes,82,4652
0812-WUPTB,Yes,69,3022
2403-BCASL,Yes,93,3711
3871-IKPYH,Yes,83,2767
1304-NECVQ,Yes,92,5203
5655-JSMZM,Yes,74,5904
4505-EXZHB,Yes,91,3964
8972-HJWNV,Yes,80,5245
2860-RANUS,Yes,75,3336
0406-BPDVR,Yes,68,6405
5276-KQWHG,Yes,74,4596
9667-EQRXU,Yes,94,3016
0946-CLJTI,Yes,91,4662
0324-BRPCJ,Yes,70,4481
9189-JWSHV,Yes,91,4937
0576-WNXXC,Yes,75,2999
5482-PLVPE,Yes,72,3278
4902-OHLSK,Yes,93,4235
0495-ZBNGW,Yes,90,4324
2357-COQEK,Yes,78,4136
2034-CGRHZ,Yes,66,5245
9360-AHGNL,Yes,69,5863
5485-WUYWF,Yes,87,4522
2632-UCGVD,Yes,72,4512
6425-YQLLO,Yes,86,6117
2091-RFFBA,Yes,75,2560
6899-PPEEA,Yes,81,4448
4597-NUCQV,Yes,87,4287
3754-DXMRT,Yes,86,5655
7130-VTEWQ,Yes,92,4174
7903-CMPEY,Yes,87,4138
1704-NRWYE,Yes,71,5242
7481-ATQQS,Yes,70,5651
0023-HGHWL,Yes,85,5437
1792-UXAFY,Yes,89,5082
6161-UUUTA,Yes,90,4367
6543-XRMYR,Yes,69,3548
2479-BRAMR,Yes,71,4995
3714-JTVOV,Yes,94,2322
8580-QVLOC,Yes,78,5697
2012-NWRPA,Yes,71,3172
8808-ELEHO,Yes,72,3812
9058-CBREO,Yes,95,3357
8063-GBATB,Yes,80,5172
1069-XAIEM,Yes,96,2975
6987-XQSJT,Yes,78,5684
0722-TROQR,Yes,78,2122
6402-ZFPPI,Yes,94,4969
9965-YOKZB,Yes,71,3723
0504-HHAPI,Yes,96,2420
3791-LGQCY,Yes,85,4803
8166-ZZTFS,Yes,94,4400
2956-GGUCQ,Yes,65,3079
2778-OCLGR,Yes,89,4591
7067-KSAZT,Yes,69,5965
9300-AGZNL,Yes,67,4176
1112-CUNAO,Yes,91,2668
3389-YGYAI,Yes,72,5546
3070-DVEYC,Yes,84,5638
5707-ORNDZ,Yes,79,4656
8696-JKZNU,Yes,91,5859
2055-PDADH,Yes,67,2491
2302-ANTDP,Yes,67,5915
5233-GEEAX,Yes,85,5971
7137-RYLPP,Yes,86,4712
3957-LXOLK,Yes,83,5030
5281-BUZGT,Yes,92,5692
2718-GAXQD,Yes,92,4797
3217-FZDMN,Yes,83,3676
7480-QNVZJ,Yes,73,4287
7124-UGSUR,Yes,84,4412
1862-SKORY,Yes,91,2296
4816-JBHOV,Yes,91,4618
3247-ZVOUO,Yes,81,3336
1268-ASBGA,Yes,66,5769
4713-LZDRV,Yes,94,4322
4325-NFSKC,Yes,87,2373
6502-HCJTI,Yes,75,3591
8258-GSTJK,Yes,96,3128
2995-UPRYS,Yes,69,5098
6686-YPGHK,Yes,68,3645
8020-BWHYL,Yes,91,4526
6892-XPFPU,Yes,80,2104
8010-EZLOU,Yes,76,4958
8062-YBDOE,Yes,78,5844
3672-YITQD,Yes,79,2987
8988-ECPJR,Yes,66,3980
3776-EKTKM,Yes,96,5303
0643-OKLRP,Yes,95,5915
9381-NDKME,Yes,85,3843
8327-LZKAS,Yes,93,4423
1075-BGWOH,Yes,87,3392
8485-GJCDN,Yes,74,3368
6029-WTIPC,Yes,87,4424
3317-HRTNN,Yes,73,3561
5569-OUICF,Yes,68,4994
5747-PMBSQ,Yes,77,2415
2982-IHMFT,Yes,67,4291
5143-EGQFK,Yes,89,5702
6168-WFVVF,Yes,91,5165
7450-NWRTR,Yes,91,2819
6005-OBZPH,Yes,89,4074
7932-WPTDS,Yes,73,5377
7000-WCEVQ,Yes,85,3866
5959-BELXA,Yes,79,2246
2506-TNFCO,Yes,67,5948
6060-DRTNL,Yes,74,3305
8473-VUVJN,Yes,86,5443
0196-VULGZ,Yes,77,5721
1976-CFOCS,Yes,67,4531
4631-OACRM,Yes,74,3621
3755-JBMNH,Yes,86,3327
6345-ULYRW,Yes,91,2674
0013-EXCHZ,Yes,68,3464
5550-VFRLC,Yes,68,5056
2657-ALMWY,Yes,75,4316
6284-AHOOQ,Yes,71,5014
2460-FPSYH,Yes,90,4272
5028-HTLJB,Yes,91,3491
0875-CABNR,Yes,94,3320
6982-UQZLY,Yes,90,3817
0193-ESZXP,Yes,91,5067
4369-HTUIF,Yes,90,5831
5287-QWLKY,Yes,66,5725
1891-UAWWU,Yes,87,2312
3096-JRDSO,Yes,75,3444
2398-YPMUR,Yes,85,5101
1265-XTECC,Yes,86,5957
4871-JTKJF,Yes,82,4741
1415-YFWLT,Yes,85,3067
3500-RMZLT,Yes,72,2933
2642-DTVCO,Yes,74,5095
1363-TXLSL,Yes,91,4962
7136-RVDTZ,Yes,90,5824
6927-WTFIV,Yes,91,3684
3398-ZOUAA,Yes,67,3853
4844-JJWUY,Yes,82,5359
4785-QRJHC,Yes,80,4011
1965-AKTSX,Yes,88,5203
7248-VZQLC,Yes,72,4661
0011-IGKFF,Yes,91,3714
6496-SLWHQ,Yes,87,5960
9912-GVSEQ,Yes,86,2591
5383-MMTWC,Yes,91,4819
6877-LGWXO,Yes,84,3521
5167-GBFRE,Yes,72,4694
1324-NLTJE,Yes,94,3167
5567-WSELE,Yes,87,3019
6646-VRFOL,Yes,87,5860
9090-SGQXL,Yes,79,6284
6595-YGXIT,Yes,91,3878
9835-ZIITK,Yes,74,4281
5649-TJHOV,Yes,93,4564
9253-QXKBE,Yes,71,2233
8775-LHDJH,Yes,93,2905
3097-NQYSN,Yes,78,5204
3565-UNOCC,Yes,82,3179
9190-MFJLN,Yes,68,2851
1095-JUDTC,Yes,65,5214
5385-SUIRI,Yes,68,5648
6328-ZPBGN,Yes,71,4074
2856-NNASM,Yes,73,3802
6769-DYBQN,Yes,71,2097
2446-BEGGB,Yes,83,3330
1496-GGSUK,Yes,83,4095
3296-SILRA,Yes,89,2426
5180-UCIIQ,Yes,75,2061
1977-STDKI,Yes,76,4116
5813-UECBU,Yes,79,2583
4342-HENTK,Yes,74,2189
1597-LHYNC,Yes,90,4232
8651-ENBZX,Yes,78,5507
9286-DOJGF,Yes,82,5165
9661-MHUMO,Yes,84,4478
8884-ADFVN,Yes,74,2016
2720-WGKHP,Yes,93,5569
9776-CLUJA,Yes,96,5748
3551-HUAZH,Yes,89,3429
8634-MPHTR,Yes,91,5166
2474-BRUCM,Yes,84,2837
0616-ATFGB,Yes,95,2119
7235-NXZCP,Yes,84,5378
6661-HBGWL,Yes,79,2984
9317-WZPGV,Yes,77,4038
3621-CEOVK,Yes,90,3369
7632-MNYOY,Yes,93,4389
9248-OJYKK,Yes,95,3763
3398-FSHON,Yes,94,4703
3319-DWOEP,Yes,90,5750
0818-OCPZO,Yes,83,2571
1389-CXMLU,Yes,91,2194
5561-NWEVX,Yes,67,4225
2272-QAGFO,Yes,71,5342
3768-NLUBH,Yes,74,5247
7359-SSBJK,Yes,89,6080
0685-MLYYM,Yes,96,4407
7957-RYHQD,Yes,94,3207
6230-BSUXY,Yes,93,2650
3990-QYKBE,Yes,95,4127
9274-CNFMO,Yes,69,3716
3005-NFMTA,Yes,69,5543
5389-FFVKB,Yes,94,5365
8444-WRIDW,Yes,79,5011
5868-YWPDW,Yes,72,5834
1273-MTETI,Yes,74,2754
5480-HPRRX,Yes,74,3542
7234-FECYN,Yes,68,5546
1400-MMYXY,Yes,71,2715
7142-HVGBG,Yes,91,2505
1564-NTYXF,Yes,91,3363
0886-QGENL,Yes,77,4853
8739-WWKDU,Yes,90,4849
8685-WHQPW,Yes,81,2407
7240-FQLHE,Yes,68,5857
6664-FPDAC,Yes,91,4060
0786-VSSUD,Yes,92,5692
6583-QGCSI,Yes,87,5813
1980-KXVPM,Yes,83,3553
0723-DRCLG,Yes,94,2394
6894-LFHLY,Yes,90,5571
8361-LTMKD,Yes,77,5839
3841-NFECX,No,38,5309
4929-XIHVW,No,69,4449
3413-BMNZE,No,40,3144
8012-SOUDQ,No,52,2223
6575-SUVOI,No,25,3154
4667-QONEA,No,59,5153
5067-XJQFU,No,74,4582
1891-QRQSA,No,69,4881
2673-CXQEU,No,21,4463
0191-ZHSKZ,No,55,3033
2424-WVHPL,No,60,4182
5386-THSLQ,No,28,6238
2639-UGMAZ,No,68,5372
3146-MSEGF,No,8,6102
1131-QQZEB,No,52,4329
2504-DSHIH,No,38,5788
9058-HRZSV,No,7,5348
4522-AKYLR,No,7,5557
0221-WMXNQ,No,40,4033
5046-NUHWD,No,50,3094
7529-ZDFXI,No,36,4429
3197-ARFOY,No,59,3524
4716-HHKQH,No,65,5328
3179-GBRWV,No,23,4604
4847-TAJYI,No,75,2578
6851-WEFYX,No,38,3318
3167-SNQPL,No,78,4036
2799-ARNLO,No,41,5437
5701-YVSVF,No,21,4413
5697-GOMBF,No,34,5444
2739-CACDQ,No,26,3754
6035-BXTTY,No,56,4045
0021-IKXGC,No,50,4432
4654-DLAMQ,No,68,4053
4115-NZRKS,No,25,2415
3351-NGXYI,No,38,2276
8204-YJCLA,No,68,4886
9774-NRNAU,No,75,5352
0224-RLWWD,No,44,3805
3951-NJCVI,No,34,2677
0177-PXBAT,No,59,5655
2519-ERQOJ,No,30,5322
0111-KLBQG,No,62,2844
1996-DBMUS,No,71,5523
2055-SIFSS,No,24,4763
2806-MLNTI,No,47,4621
5628-RKIFK,No,22,5348
5760-WRAHC,No,32,3509
1480-BKXGA,No,64,4404
9076-AXYIK,No,28,6270
4933-IKULF,No,40,4086
3780-DDGSE,No,38,5479
4612-SSVHJ,No,27,2416
5756-OZRIO,No,29,4001
4513-CXYIX,No,54,4583
4332-MUOEZ,No,32,2574
6705-LXORM,No,24,2064
4109-CYRBD,No,39,5495
8606-CIQUL,No,60,5168
0356-OBMAC,No,45,5840
1297-VQDRP,No,66,4324
4676-MQUEA,No,25,4184
7025-WCBNE,No,33,3155
6030-REHUX,No,58,3906
6522-YRBXD,No,69,2631
6689-VRRTK,No,35,5720
7134-MJPDY,No,40,5569
4881-JVQOD,No,55,5248
6797-UCJHZ,No,27,5722
2469-DTSGX,No,75,5388
4908-XAXAY,No,30,5982
3509-GWQGF,No,77,5242
3729-OWRVL,No,79,4295
7251-LJBQN,No,20,3568
2682-KEVRP,No,21,4327
9978-HYCIN,No,68,3384
8329-UTMVM,No,31,3104
6952-OMNWB,No,28,5581
6549-YMFAW,No,69,2302
1307-TVUFB,No,79,2399
7503-MIOGA,No,56,5881
2499-AJYUA,No,80,5933
6919-ELBGL,No,61,6268
3966-HRMZA,No,56,3545
5671-RQRLP,No,30,4181
4785-NKHCX,No,31,2154
4250-WAROZ,No,70,4353
3523-BRGUW,No,64,2269
2123-AGEEN,No,38,2107
1258-YMZNM,No,56,4997
6259-WJQLC,No,50,2143
7508-SMHXL,No,77,4452
3956-CJUST,No,49,2491
4824-GUCBY,No,34,5602
6630-UJZMY,No,37,5251
9904-EHEVJ,No,35,2965
2826-DXLQO,No,69,2587
9489-UTFKA,No,27,2136
4849-PYRLQ,No,26,4011
2858-EIMXH,No,65,5325
6419-ZTTLE,No,45,3418
8242-SOQUO,No,54,2660
7460-ITWWP,No,41,2701
7868-TMWMZ,No,59,4953
4829-ZLJTK,No,37,6144
8883-GRDWQ,No,20,5090
9845-PEEKO,No,25,5400
1751-NCDLI,No,41,2641
2176-LVPNX,No,33,4994
3452-ABWRL,No,69,5527
1779-PWPMG,No,29,5408
3082-WQRVY,No,66,2962
2460-NGXBJ,No,28,5193
