Customer ID,Referred a Friend,Number of Referrals,Satisfaction Score,Customer Status,Churn Reason,Churn Category
8779-QRDMV,No,0,3,Churned,Competitor offered more data,Competitor
7495-OOKFY,Yes,1,3,Churned,Competitor made better offer,Competitor
1658-BYGOY,No,0,2,Churned,Competitor made better offer,Competitor
4598-XLKNJ,Yes,1,2,Churned,Limited range of services,Dissatisfaction
4846-WHAFZ,Yes,1,2,Churned,Extra data charges,Price
4412-YLTKF,No,0,1,Churned,Competitor had better devices,Competitor
0390-DCFDQ,Yes,1,2,Churned,Don't know,Other
3445-HXXGF,Yes,6,1,Churned,Service dissatisfaction,Dissatisfaction
2656-FMOKZ,No,0,2,Churned,Limited range of services,Dissatisfaction
2070-FNEXE,No,0,2,Churned,Lack of affordable download/upload speed,Price
0094-OIFMO,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
9947-OTFQU,No,0,1,Churned,Competitor had better devices,Competitor
9514-JDSKI,Yes,1,2,Churned,Limited range of services,Dissatisfaction
7273-TEFQD,No,0,2,Churned,Long distance charges,Price
3606-TWKGI,No,0,1,Churned,Competitor had better devices,Competitor
4385-GZQXV,No,0,1,Churned,Competitor had better devices,Competitor
3488-PGMQJ,No,0,2,Churned,Poor expertise of online support,Dissatisfaction
7534-BFESC,No,0,2,Churned,Competitor made better offer,Competitor
8098-LLAZX,No,0,3,Churned,Competitor made better offer,Competitor
0265-EDXBD,Yes,2,2,Churned,Attitude of support person,Attitude
2840-XANRC,Yes,1,2,Churned,Competitor made better offer,Competitor
5020-ZSTTY,No,0,1,Churned,Competitor made better offer,Competitor
5804-LEPIM,No,0,3,Churned,Don't know,Other
0623-IIHUG,No,0,1,Churned,Competitor made better offer,Competitor
9057-MSWCO,No,0,1,Churned,Competitor made better offer,Competitor
4895-TMWIR,Yes,1,1,Churned,Competitor made better offer,Competitor
0533-BNWKF,Yes,2,1,Churned,Competitor made better offer,Competitor
0334-GDDSO,No,0,1,Churned,Competitor made better offer,Competitor
5564-NEMQO,No,0,2,Churned,Network reliability,Dissatisfaction
6235-VDHOM,No,0,2,Churned,Limited range of services,Dissatisfaction
5609-CEBID,No,0,1,Churned,Competitor had better devices,Competitor
5956-VKDTT,Yes,4,1,Churned,Product dissatisfaction,Dissatisfaction
0257-ZESQC,Yes,2,1,Churned,Attitude of support person,Attitude
2865-TCHJW,No,0,1,Churned,Competitor had better devices,Competitor
5192-EBGOV,No,0,1,Churned,Competitor had better devices,Competitor
3419-SNJJD,Yes,3,1,Churned,Attitude of support person,Attitude
4554-YGZIH,Yes,3,2,Churned,Competitor made better offer,Competitor
5099-BAILX,Yes,1,2,Churned,Competitor made better offer,Competitor
4913-EHYUI,No,0,1,Churned,Competitor offered higher download speeds,Competitor
1626-ERCMM,Yes,7,1,Churned,Competitor had better devices,Competitor
5644-PDMZC,No,0,2,Churned,Attitude of support person,Attitude
4160-AMJTL,No,0,2,Churned,Attitude of support person,Attitude
0823-HSCDJ,No,0,2,Churned,Competitor made better offer,Competitor
0067-DKWBL,No,0,2,Churned,Competitor made better offer,Competitor
5244-IRFIH,Yes,1,3,Churned,Poor expertise of online support,Other
2684-EIWEO,No,0,1,Churned,Competitor made better offer,Competitor
6683-VLCTZ,No,0,3,Churned,Competitor made better offer,Competitor
0691-IFBQW,No,0,1,Churned,Competitor made better offer,Competitor
3643-AHCFP,Yes,1,3,Churned,Competitor made better offer,Competitor
9231-ZJYAM,No,0,3,Churned,Moved,Other
0727-BMPLR,No,0,3,Churned,Competitor offered higher download speeds,Competitor
0947-MUGVO,Yes,1,1,Churned,Competitor had better devices,Competitor
0781-LKXBR,No,0,1,Churned,Competitor had better devices,Competitor
1907-UBQFC,No,0,1,Churned,Competitor had better devices,Competitor
6513-EECDB,No,0,2,Churned,Price too high,Price
7074-IEVOJ,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
4750-ZRXIU,No,0,1,Churned,Competitor had better devices,Competitor
7028-DVOIQ,No,0,1,Churned,Don't know,Other
4208-UFFGW,No,0,2,Churned,Don't know,Other
9889-TMAHG,No,0,1,Churned,Competitor had better devices,Competitor
8919-FYFQZ,Yes,2,1,Churned,Competitor had better devices,Competitor
6646-QVXLR,Yes,1,1,Churned,Competitor had better devices,Competitor
9369-XFEHK,Yes,1,2,Churned,Competitor offered more data,Competitor
1374-DMZUI,No,0,2,Churned,Competitor made better offer,Competitor
1989-PRJHP,Yes,1,1,Churned,Competitor had better devices,Competitor
4822-RVYBB,No,0,1,Churned,Attitude of support person,Attitude
4184-TJFAN,Yes,1,1,Churned,Attitude of support person,Attitude
4145-UQXUQ,No,0,1,Churned,Competitor had better devices,Competitor
1236-WFCDV,No,0,3,Churned,Competitor offered more data,Competitor
1271-SJBGZ,No,0,1,Churned,Competitor had better devices,Competitor
4441-NIHPT,No,0,1,Churned,Competitor had better devices,Competitor
8999-BOHSE,No,0,2,Churned,Attitude of support person,Attitude
7029-RPUAV,Yes,1,3,Churned,Competitor offered more data,Competitor
8111-SLLHI,Yes,1,3,Churned,Attitude of support person,Attitude
5293-WXJAK,Yes,5,3,Churned,Competitor offered more data,Competitor
4086-YQSNZ,Yes,1,2,Churned,Attitude of service provider,Attitude
8399-YNDCH,No,0,1,Churned,Competitor had better devices,Competitor
5565-FILXA,No,0,2,Churned,Don't know,Other
4187-CINZD,No,0,2,Churned,Competitor had better devices,Competitor
6818-WOBHJ,Yes,1,1,Churned,Competitor had better devices,Competitor
9134-CEQMF,Yes,1,2,Churned,Network reliability,Dissatisfaction
8519-IMDHU,Yes,1,1,Churned,Competitor had better devices,Competitor
3372-KWFBM,No,0,3,Churned,Network reliability,Dissatisfaction
7206-GZCDC,No,0,2,Churned,Attitude of support person,Attitude
1768-ZAIFU,No,0,1,Churned,Competitor made better offer,Competitor
3793-MMFUH,No,0,1,Churned,Competitor made better offer,Competitor
6567-HOOPW,No,0,3,Churned,Competitor made better offer,Competitor
8621-MNIHH,Yes,1,1,Churned,Competitor had better devices,Competitor
5419-CONWX,No,0,1,Churned,Competitor had better devices,Competitor
7024-OHCCK,No,0,3,Churned,Poor expertise of online support,Other
5357-TZHPP,No,0,2,Churned,Attitude of support person,Attitude
0506-LVNGN,No,0,1,Churned,Competitor had better devices,Competitor
9809-IMGCQ,No,0,1,Churned,Competitor made better offer,Competitor
3254-YRILK,No,0,1,Churned,Competitor had better devices,Competitor
0529-ONKER,No,0,3,Churned,Attitude of support person,Attitude
5240-IJOQT,No,0,1,Churned,Competitor had better devices,Competitor
0661-XEYAN,No,0,1,Churned,Competitor had better devices,Competitor
2660-EMUBI,No,0,1,Churned,Competitor made better offer,Competitor
7675-OZCZG,No,0,3,Churned,Competitor made better offer,Competitor
9391-EOYLI,Yes,1,2,Churned,Competitor made better offer,Competitor
2761-OCIAX,No,0,2,Churned,Competitor made better offer,Competitor
3068-OMWZA,No,0,1,Churned,Competitor made better offer,Competitor
4154-AQUGT,Yes,1,1,Churned,Competitor made better offer,Competitor
8017-LXHFA,No,0,2,Churned,Competitor made better offer,Competitor
4248-QPAVC,Yes,1,1,Churned,Competitor made better offer,Competitor
4690-LLKUA,No,0,1,Churned,Competitor made better offer,Competitor
9490-DFPMD,No,0,2,Churned,Competitor made better offer,Competitor
8580-AECUZ,No,0,3,Churned,Competitor made better offer,Competitor
5047-LHVLY,No,0,2,Churned,Competitor made better offer,Competitor
8375-DKEBR,No,0,1,Churned,Competitor had better devices,Competitor
7279-BUYWN,No,0,1,Churned,Attitude of support person,Attitude
7156-MHUGY,No,0,1,Churned,Competitor had better devices,Competitor
9606-PBKBQ,Yes,1,1,Churned,Attitude of support person,Attitude
3536-IQCTX,Yes,1,1,Churned,Competitor had better devices,Competitor
3132-TVFDZ,Yes,1,2,Churned,Attitude of support person,Attitude
8080-DDEMJ,No,0,2,Churned,Attitude of support person,Attitude
6702-OHFWR,No,0,3,Churned,Poor expertise of online support,Other
4510-PYUSH,No,0,1,Churned,Attitude of support person,Attitude
8840-DQLGN,Yes,1,1,Churned,Attitude of support person,Attitude
4193-ORFCL,No,0,1,Churned,Competitor had better devices,Competitor
7776-QWNFX,Yes,1,3,Churned,Attitude of support person,Attitude
6689-TCZHQ,No,0,3,Churned,Attitude of support person,Attitude
9497-QCMMS,No,0,1,Churned,Competitor made better offer,Competitor
3424-NMNBO,Yes,1,1,Churned,Competitor made better offer,Competitor
4514-GFCFI,No,0,2,Churned,Attitude of support person,Attitude
8000-REIQB,No,0,2,Churned,Competitor made better offer,Competitor
4795-KTRTH,Yes,1,1,Churned,Competitor made better offer,Competitor
9961-JBNMK,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
6179-GJPSO,No,0,1,Churned,Competitor made better offer,Competitor
8290-YWKHZ,Yes,1,3,Churned,Competitor made better offer,Competitor
8051-HJRLT,No,0,3,Churned,Attitude of service provider,Attitude
4021-RQSNY,Yes,1,3,Churned,Attitude of service provider,Attitude
9061-TIHDA,Yes,1,1,Churned,Competitor had better devices,Competitor
8699-ASUFO,Yes,1,3,Churned,Attitude of service provider,Attitude
4695-WJZUE,No,0,1,Churned,Competitor had better devices,Competitor
3988-RQIXO,No,0,3,Churned,Attitude of service provider,Attitude
5931-FLJJF,Yes,1,2,Churned,Attitude of service provider,Attitude
3207-OYBWH,Yes,1,2,Churned,Attitude of support person,Attitude
7216-EWTRS,Yes,4,1,Churned,Attitude of service provider,Attitude
2528-HFYZX,Yes,2,1,Churned,Competitor had better devices,Competitor
4140-MUHUG,No,0,2,Churned,Attitude of service provider,Attitude
1587-FKLZB,Yes,1,1,Churned,Competitor had better devices,Competitor
5440-FLBQG,Yes,1,3,Churned,Attitude of service provider,Attitude
2774-LVQUS,Yes,2,3,Churned,Competitor made better offer,Competitor
4612-THJBS,No,0,3,Churned,Attitude of service provider,Attitude
4094-NSEDU,No,0,2,Churned,Competitor made better offer,Competitor
1846-XWOQN,No,0,2,Churned,Competitor made better offer,Competitor
3757-NJYBX,Yes,3,2,Churned,Moved,Other
9898-KZQDZ,Yes,1,1,Churned,Competitor had better devices,Competitor
8263-JQAIK,No,0,3,Churned,Competitor offered more data,Competitor
2205-YMZZJ,No,0,3,Churned,Competitor made better offer,Competitor
1254-IZEYF,No,0,3,Churned,Competitor made better offer,Competitor
9221-OTIVJ,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
5908-QMGOE,No,0,1,Churned,Competitor had better devices,Competitor
0397-GZBBC,No,0,2,Churned,Price too high,Price
7641-EUYET,Yes,3,1,Churned,Product dissatisfaction,Dissatisfaction
8922-LIEGH,No,0,3,Churned,Poor expertise of online support,Dissatisfaction
8245-UMPYT,No,0,3,Churned,Poor expertise of phone support,Dissatisfaction
5186-SAMNZ,No,0,2,Churned,Price too high,Price
5373-SFODM,Yes,1,2,Churned,Product dissatisfaction,Dissatisfaction
0022-TCJCI,No,0,1,Churned,Limited range of services,Dissatisfaction
5130-IEKQT,No,0,2,Churned,Price too high,Price
3269-ATYWD,No,0,1,Churned,Don't know,Other
0354-WYROK,Yes,1,2,Churned,Don't know,Other
7576-OYWBN,No,0,1,Churned,Competitor had better devices,Competitor
5539-TMZLF,No,0,1,Churned,Competitor had better devices,Competitor
3336-JORSO,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
6861-XWTWQ,Yes,1,2,Churned,Attitude of support person,Attitude
4283-FUTGF,No,0,3,Churned,Network reliability,Dissatisfaction
2397-BRLOM,Yes,2,1,Churned,Don't know,Other
8510-AWCXC,No,0,1,Churned,Attitude of support person,Attitude
8225-BTJAU,No,0,1,Churned,Competitor had better devices,Competitor
1724-BQUHA,No,0,2,Churned,Attitude of support person,Attitude
4826-XTSOH,No,0,1,Churned,Competitor had better devices,Competitor
2408-WITXK,No,0,1,Churned,Deceased,Other
2634-HCZGT,Yes,1,1,Churned,Moved,Other
7503-QQRVF,Yes,1,1,Churned,Competitor had better devices,Competitor
0709-TVGUR,No,0,1,Churned,Competitor had better devices,Competitor
3001-CBHLQ,Yes,1,1,Churned,Attitude of support person,Attitude
4102-OQUPX,Yes,1,3,Churned,Competitor made better offer,Competitor
3999-QGRJH,No,0,1,Churned,Product dissatisfaction,Dissatisfaction
