Customer ID,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Offer,Tenure in Months
8779-QRDMV,No,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,None,1
7495-OOKFY,Yes,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,8
1658-BYGOY,Yes,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,18
4598-XLKNJ,Yes,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer C,25
4846-WHAFZ,Yes,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,37
4412-YLTKF,Yes,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Offer C,27
0390-DCFDQ,Yes,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,1
3445-HXXGF,No,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Offer B,58
2656-FMOKZ,Yes,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer D,15
2070-FNEXE,Yes,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,Offer E,7
0094-OIFMO,Yes,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Offer D,11
9947-OTFQU,Yes,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer D,15
9514-JDSKI,No,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Offer E,1
7273-TEFQD,No,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Offer E,3
3606-TWKGI,Yes,Yes,Yes,Cable,11,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Offer D,13
4385-GZQXV,Yes,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Offer D,16
3488-PGMQJ,Yes,No,Yes,Fiber Optic,7,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,8
7534-BFESC,Yes,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,24
8098-LLAZX,Yes,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Offer E,4
0265-EDXBD,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer C,32
2840-XANRC,Yes,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Offer C,24
5020-ZSTTY,Yes,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Offer B,54
5804-LEPIM,Yes,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,2
0623-IIHUG,No,No,Yes,Cable,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,None,21
9057-MSWCO,No,No,Yes,Cable,13,Yes,No,No,No,No,No,No,No,Month-to-Month,None,27
4895-TMWIR,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,11
0533-BNWKF,Yes,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Offer B,55
0334-GDDSO,Yes,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,3
5564-NEMQO,Yes,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Offer E,1
6235-VDHOM,No,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Offer E,5
5609-CEBID,Yes,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,None,20
5956-VKDTT,Yes,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Offer E,5
0257-ZESQC,Yes,No,Yes,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,None,27
2865-TCHJW,Yes,Yes,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,None,4
5192-EBGOV,Yes,Yes,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,1
3419-SNJJD,Yes,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Offer B,65
4554-YGZIH,Yes,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Offer B,49
5099-BAILX,Yes,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Offer B,43
4913-EHYUI,Yes,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Offer B,56
1626-ERCMM,Yes,Yes,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,None,20
5644-PDMZC,Yes,Yes,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,None,2
4160-AMJTL,Yes,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,None,8
0823-HSCDJ,No,No,Yes,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,None,52
0067-DKWBL,Yes,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,None,2
5244-IRFIH,Yes,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,33
2684-EIWEO,Yes,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,None,30
6683-VLCTZ,Yes,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,None,20
0691-IFBQW,Yes,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,None,46
3643-AHCFP,Yes,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,None,7
9231-ZJYAM,Yes,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,None,4
0727-BMPLR,Yes,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,None,55
0947-MUGVO,Yes,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,20
0781-LKXBR,Yes,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,None,9
1907-UBQFC,Yes,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,None,10
6513-EECDB,Yes,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,None,1
7074-IEVOJ,Yes,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,None,3
4750-ZRXIU,Yes,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,None,4
7028-DVOIQ,Yes,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,None,35
